************************Header***************************

************************Result***************************
Directory:     ['\\\\130.60.131.134\\studi\\Filme\\frueher_Film', '\\\\130.60.131.134\\studi\\Filme\\mittlere_Filme', '\\\\130.60.131.134\\studi\\Filme\\spaete_Filme']
Total Folders: 470


*******************File Information**********************
n-Correct      n-Multiple     n-Incorrect    n-Not-Started  n-Total        
166            54             62             188            470            


************************Details***************************
Legend
PR: Pre-Naming Nomeclature
MS: Missing Segmentation
AL: Everything OK


         Status       n-Movies         n-ELAN    n-Filemaker     n-Segment.      n-Folders     n-Indexing    n-Timestamp    n-PreNaming       n-Others               Path 
   ***Incorrect              1              1              1              0              1              0              0              0            120               \\130.60.131.134\studi\Filme\frueher_Film\51_The_Toll_of_the_Sea_1922
   ***Incorrect              1              1              1              0              1              0              0              0            715               \\130.60.131.134\studi\Filme\frueher_Film\52_The_Phantom_of_the_Opera_1925
          OK-MS              1              1              1              0              1              0            545              0              0               \\130.60.131.134\studi\Filme\frueher_Film\53_The_Black_Pirate_1926
          OK-MS              1              1              1              0              1            336              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\574_Whoopee_1930
          OK-MS              1              1              1              0              1            678              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\576_Die_Freudlose_Gasse_1925
   ***Incorrect              1              1              1              0              1              0              0              0           1240               \\130.60.131.134\studi\Filme\frueher_Film\613_The_Thief_Of_Bagdad_1924
          OK-MS              1              1              1              0              1              0            713              0              0               \\130.60.131.134\studi\Filme\frueher_Film\614_Erotikon_1920
          OK-MS              1              1              1              0              1              0            593              0              0               \\130.60.131.134\studi\Filme\frueher_Film\616_Behind_The_Door_1919
       OK-MS-PN              1              1              1              0              1              0              0             44              0               \\130.60.131.134\studi\Filme\frueher_Film\640_La_Danse_Du_Diable_1904
          OK-MS              1              1              1              0              1              0             13              0              0               \\130.60.131.134\studi\Filme\frueher_Film\641_La_Fee_Aux_Fleurs_1905
          OK-MS              1              1              1              0              1             45              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\642_Le_Pied_De_Mouton_1907
          OK-MS              1              1              1              0              1              0            278              0              0               \\130.60.131.134\studi\Filme\frueher_Film\699_Assunta_Spina_1915
          OK-MS              1              1              1              0              1              0            800              0              0               \\130.60.131.134\studi\Filme\frueher_Film\751_Robin_Hood_1922
